"amenity","longitude","latitude"
"nightclub",2.1521881,41.3954764
"nightclub",2.1739427,41.3895686
"nightclub",2.09461116467243,41.3555057084139
"nightclub",2.10768132388472,41.3621097668715
"nightclub",2.1500484,41.3918937
"nightclub",2.0958801,41.355622
"nightclub",2.11357309316134,41.3636718077198
"nightclub",2.109424,41.3600758
"nightclub",2.1610503,41.4091036
"nightclub",2.1568896,41.393099
"nightclub",2.1702374,41.3755945
"nightclub",2.1586905,41.3738977
"nightclub",2.1752496,41.3805565
"nightclub",2.1532409,41.3938378
"nightclub",2.1545955,41.3845653
"nightclub",2.1752978,41.3786292
"nightclub",2.1751933,41.3797128
"nightclub",2.1784298,41.3811234
"nightclub",2.13707374827669,41.3894889294852
"nightclub",2.1546055,41.3808626
"nightclub",2.1639901,41.3884428
"nightclub",2.1642261,41.3884327
"nightclub",2.1634161,41.3840336
"nightclub",2.1545811,41.3808462
"nightclub",2.1768641,41.3794046
"nightclub",2.1517438,41.3959489
"nightclub",2.1143271,41.381261
"nightclub",2.1695606,41.3743908
"nightclub",2.1621059,41.4056064
"nightclub",2.1967637,41.3858135
"nightclub",2.1807324,41.3983986
"nightclub",2.1503817,41.4001094
"nightclub",2.162742,41.3831657
"nightclub",2.1448682,41.3783395
"nightclub",2.140693,41.3925144
"nightclub",2.19125014247993,41.3975856915254
"nightclub",2.1862228,41.3799209
"nightclub",2.1334164,41.3798286
"nightclub",2.172046,41.3852951
"nightclub",2.1557,41.3849266
"nightclub",2.158811,41.3843686
"nightclub",2.1561764,41.3743162
"nightclub",2.1682772,41.3877311
"nightclub",2.1564886,41.4062568
"nightclub",2.1148664,41.3744995
"nightclub",2.1894771,41.383278
"nightclub",2.1910762,41.3972784
"nightclub",2.1749439,41.3788563
"nightclub",2.149236,41.3689262
"nightclub",2.1675289,41.4036783
"nightclub",2.1920045,41.3970111
"nightclub",2.1491592,41.3945976
"nightclub",2.1902067,41.4469745
"nightclub",2.19995477899537,41.3983345492596
"nightclub",2.1680013,41.3728751
"nightclub",2.19125840215504,41.3993961056958
"nightclub",2.1600197,41.3972085
"nightclub",2.1468564,41.3688468
"nightclub",2.1497718,41.3957578
"nightclub",2.1503847,41.3952962
"nightclub",2.1472514,41.3842012
"nightclub",2.1430297,41.3855135
"nightclub",2.1420577,41.3726526
"nightclub",2.1580101,41.3936124
"nightclub",2.1461014,41.3902898
"nightclub",2.1885695,41.375239
"nightclub",2.1697111,41.3737857
